Neighborhoods.,zip,Median Household income( 2018 dollars),Median Household income of the state( 2018 dollars),Total population,total white population,Percentage of whites in population,Percentage of minorities in population,Percentage of minorities in the state,COUNTYNAME,Corona cases per 1000 people (County Level)
"44903: Mansfield, OH",44903,51776,54533,23604,19463,82.45636333,17.54363667,21.3,Ashland County,0.39269219
"43222: Columbus, OH",43222,24967,54533,4529,2964,65.44491058,34.55508942,21.3,Franklin County,4.87402114
"44127: Cleveland, OH",44127,22521,54533,4375,1804,41.23428571,58.76571429,21.3,Cuyahoga County,3.77417783
"44311: Akron, OH",44311,21410,54533,8447,3882,45.95714455,54.04285545,21.3,Summit County,2.77772651
"43211: Columbus, OH",43211,26257,54533,23453,5847,24.93071249,75.06928751,21.3,Franklin County,4.87402114
"31903: Columbus, GA",31903,"23,227",55679,"19,255",2612,13.56530771,86.43469229,47.6,Muscogee County,3.54400773
"30314: Atlanta, GA",30314,"26,752",55679,"24,446",1980,8.099484578,91.90051542,47.6,Fulton County,4.62275248
"30315: Atlanta, GA",30315,"28,249",55679,"35,511",4856,13.67463603,86.32536397,47.6,DeKalb County,5.30014653
"31206: Macon, GA",31206,"25,542",55679,"26,526",4219,15.90514966,84.09485034,47.6,Bibb County,3.21845071
"31415: Savannah, GA",31415,"27,240",55679,"12,386",325,2.623930244,97.37606976,47.6,Chatham County,1.82895603
"30297: Forest Park, GA",30297,"34,295",55679,"28,077",8024,28.57855184,71.42144816,47.6,Clayton County,4.60048947
"30021: Clarkson, GA",30021,"34,360",55679,"24,137",2984,12.36276256,87.63723744,47.6,DeKalb County,5.30014653
"30310: Atlanta, GA",30310,"31,490",55679,"29,658",2697,9.093667813,90.90633219,47.6,Fulton County,4.62275248
"30274: Riverdale, GA",30274,"41,676",55679,"35,347",3590,10.15644892,89.84355108,47.6,Clayton County,4.60048947
"30093: Norcross, GA",30093,"41,043",55679,"55,107",19716,35.7776689,64.2223311,47.6,DeKalb County,5.30014653
"31705: Albany, GA",31705,"29,000",55679,"32,477",8291,25.52883579,74.47116421,47.6,Dougherty County,19.703676
"30901: Augusta, GA",30901,"21,338",55679,"16,398",2668,16.27027686,83.72972314,47.6,Richmond County,3.02288758
"30354: Atlanta, GA",30354,"37,967",55679,"16,398",3298,20.11220881,79.88779119,47.6,Clayton County,4.60048947
"30260: Morrow, GA",30260,"46,834",55679,"25,487",4687,18.38976733,81.61023267,47.6,Clayton County,4.60048947
"30601: Athens, GA",30601,24783,55679,23685,12465,52.62824573,47.37175427,47.6,Clarke County,2.39964046
"94133: Financial District, San Francisco, CA",94133,66811,71228,26527,11340,42.74889735,57.25110265,63.2,San Francisco County,3.04237487
"94103: San Francisco, CA",94103,"57,015",71228,28735,11546,40.18096398,59.81903602,63.2,San Francisco County,3.04237487
"94124: San Francisco, CA",94124,56607,71228,35363,4370,12.35754885,87.64245115,63.2,San Francisco County,3.04237487
"94107: San Francisco, CA",94107,150451,71228,29689,15668,52.77375459,47.22624541,63.2,San Francisco County,3.04237487
"94158: San Francisco, CA",94158,153077,71228,7291,3419,46.89343026,53.10656974,63.2,San Francisco County,3.04237487
"94115: San Francisco, CA",94115,114819,71228,35004,20060,57.30773626,42.69226374,63.2,San Francisco County,3.04237487
"94112: San Francisco, CA",94112,89355,71228,85166,19903,23.36965456,76.63034544,63.2,San Francisco County,3.04237487
"94134: San Francisco, CA",94134,76229,71228,42471,6962,16.39236185,83.60763815,63.2,San Francisco County,3.04237487
"94108: Financial District, San Francisco, CA",94108,62173,71228,14550,5016,34.4742268,65.5257732,63.2,San Francisco County,3.04237487
"94111: Financial District, San Francisco, CA",94111,110455,71228,3620,1838,50.77348066,49.22651934,63.2,San Francisco County,3.04237487
"94110: Mission District, San Francisco, CA",94110,123576,71228,74161,41050,55.35254379,44.64745621,63.2,San Francisco County,3.04237487
"94102: Chinatown, San Francisco, CA",94102,41835,71228,31067,14042,45.19908585,54.80091415,63.2,San Francisco County,3.04237487
"94109: Chinatown, San Francisco, CA",94109,88593,71228,56677,33808,59.65029906,40.34970094,63.2,San Francisco County,3.04237487
"94803: San Pablo, CA",94803,85266,71228,26165,12997,49.67322759,50.32677241,63.2,Contra Costa County,1.36510399
"94804: San Pablo, CA",94804,55903,71228,41510,13930,33.55817875,66.44182125,63.2,Contra Costa County,1.36510399
"94805: San Pablo, CA",94805,78740,71228,14208,6817,47.98001126,52.01998874,63.2,Contra Costa County,1.36510399
"91775: San Gabriel, CA",91775,82598,71228,25192,8124,32.2483328,67.7516672,63.2,Los Angeles County,5.9070799
"91776: San Gabriel, CA",91776,54131,71228,38410,6645,17.30018224,82.69981776,63.2,Los Angeles County,5.9070799
"90027: Little Armenia, LA, CA",90027,64091,71228,44686,29911,66.93595309,33.06404691,63.2,Los Angeles County,5.9070799
"90029: Little Armenia, LA, CA",90029,39562,71228,37898,14296,37.72230725,62.27769275,63.2,Los Angeles County,5.9070799
"90017: Westlake, LA, CA",90017,31423,71228,26728,10755,40.23870099,59.76129901,63.2,Los Angeles County,5.9070799
"90012: Westlake, LA, CA",90012,42275,71228,35913,9984,27.80051792,72.19948208,63.2,Los Angeles County,5.9070799
"90026: Westlake, LA, CA",90026,60820,71228,69589,32863,47.22441765,52.77558235,63.2,Los Angeles County,5.9070799
"90057: Westlake, LA, CA",90057,33861,71228,49492,15516,31.3505213,68.6494787,63.2,Los Angeles County,5.9070799
"90058: Vernon, CA",90058,20982,71228,2758,1873,67.91153009,32.08846991,63.2,Los Angeles County,5.9070799
